Date,IVV US Equity  (L2),IEUR US Equity  (L1),MCHI US Equity  (R2),NAFTRAC MM Equity  (R1)
2/11/2019,272.28,43.59,58.95,43.26
2/8/2019,272.13,43.68,58.77,43.15
2/7/2019,271.83,43.81,58.71,43.61
2/6/2019,274.41,44.45,59.58,43.81
2/5/2019,274.82,44.63,60.2,44.31
2/4/2019,273.65,44.22,59.12,
2/1/2019,271.7,44.13,58.95,43.73
1/31/2019,271.55,44.07,59.31,43.95
1/30/2019,269.23,44.11,58.57,43.55
1/29/2019,264.98,43.68,57.37,43.65
1/28/2019,265.35,43.49,57.39,43.61
1/25/2019,267.5,43.64,57.84,43.6
1/24/2019,265.14,43.18,56.82,43.55
1/23/2019,264.88,43.22,56.08,43.63
1/22/2019,264.5,42.94,55.67,43.72
1/21/2019,,,,43.92
1/18/2019,268.07,43.45,57.15,44.2
1/17/2019,264.53,42.97,56.45,43.9
1/16/2019,262.6,42.74,56.085,43.79
1/15/2019,261.91,42.73,55.27,43.56
1/14/2019,259.11,42.65,54.62,43.36
1/11/2019,260.37,42.88,55.28,43.55
1/10/2019,260.51,43.06,55.65,43.62
1/9/2019,259.49,42.99,55.2,43.61
1/8/2019,258.29,42.49,53.99,43.55
1/7/2019,255.77,42.11,53.58,42.8
1/4/2019,254.06,42.02,53.07,42.4
1/3/2019,245.43,40.81,51,42.03
1/2/2019,251.72,41.1,52.33,42.23
12/31/2018,251.61,41.33,52.62,41.56
12/28/2018,249.33,41.16,52.78,41.46
12/27/2018,250.06,40.81,52.65,41.39
12/26/2018,247.67,40.94,52.95,41.69
12/24/2018,236.09,40.03,51.63,41.47
12/21/2018,242.35,40.49,52.06,41.59
12/20/2018,247.43,40.95,52.42,41.8
12/19/2018,251.74,41.13,52.49,41.5
12/18/2018,255.62,41.48,53.58,41.04
12/17/2018,255.65,41.75,54.47,40.47
12/14/2018,262.4,42.19,55.57,41.38
12/13/2018,267.24,42.81,56.36,41.61
12/12/2018,267.49,42.85,56.11,
12/11/2018,266.05,42.14,55.45,40.98
12/10/2018,266,42,55,41.43
12/7/2018,265.6,42.41,55.36,41.98
12/6/2018,271.82,42.82,56.36,42.04
12/5/2018,,,,41.92
12/4/2018,272.53,43.35,57.42,41.9
12/3/2018,281.37,44.43,58.54,42.12
11/30/2018,278,43.91,57.48,41.83
11/29/2018,276.07,44.16,56.58,41.99
11/28/2018,276.63,44.34,57.69,41.08
11/27/2018,270.32,43.75,56.17,40.01
11/26/2018,269.47,44.01,56.06,39.67
11/23/2018,265.31,43.34,54.77,41.28
11/22/2018,,,,41.42
11/21/2018,266.96,43.66,55.4,41.66
11/20/2018,266.1,43.08,54.11,41.88
11/19/2018,271.13,43.86,55.25,
11/16/2018,275.74,44.24,56.45,42.39
11/15/2018,274.96,44.24,56.4,41.49
11/14/2018,272.21,44.35,55.08,42.43
11/13/2018,274.11,44.23,54.56,42.5
11/12/2018,274.51,43.94,53.25,43.37
11/9/2018,279.96,44.89,53.94,44.34
11/8/2018,282.52,45.05,55.5,44.3
11/7/2018,283.13,45.65,57.24,46.88
11/6/2018,277.16,44.97,55.86,46.33
11/5/2018,275.57,44.93,55.93,46.82
11/2/2018,273.89,44.99,56.09,
11/1/2018,275.42,44.92,55.98,45.38
10/31/2018,272.76,44.18,53.25,43.86
10/30/2018,269.86,43.81,51.86,43.51
10/29/2018,265.61,43.4,51.05,43.82
10/26/2018,267.1,43.41,52.51,45.77
10/25/2018,272.02,43.56,53.43,46.18
10/24/2018,267.14,43.05,52.22,45.89
10/23/2018,275.57,44.26,54.24,46.39
10/22/2018,277.22,44.65,55.26,46.92
10/19/2018,278.27,44.94,53.55,47.33
10/18/2018,278.51,44.64,52.78,46.97
10/17/2018,282.56,45.4,54.46,47.83
10/16/2018,282.62,45.82,55.13,48.09
10/15/2018,276.53,45,54.02,47.68
10/12/2018,278.03,45.04,55.07,47.37
10/11/2018,274.33,44.89,53.25,47.5
10/10/2018,280.25,45.42,53.46,48.07
10/9/2018,289.59,46.4,55.35,48.42
10/8/2018,289.94,46.43,55.93,48
10/5/2018,289.93,46.9,56.63,48.01
10/4/2018,291.74,47.31,56.71,48.63
10/3/2018,293.95,47.87,58.24,48.95
10/2/2018,293.75,47.68,58.5,49.32
10/1/2018,293.87,47.98,59.9,49.74
9/28/2018,292.73,47.96,59.89,49.41
9/27/2018,292.82,48.57,60.26,49.54
9/26/2018,292.02,48.75,60.23,49.53
9/25/2018,294.16,48.8,59.91,49.63
9/24/2018,294.47,48.52,59.68,49.34
9/21/2018,295.36,48.78,60.61,49.26
9/20/2018,295.76,48.82,60.06,49.51
9/19/2018,293.28,48.05,59.41,49.6
9/18/2018,293.07,47.94,58.05,49.64
9/17/2018,291.44,47.69,57.4,49.4
9/14/2018,292.91,47.54,58.17,49.62
9/13/2018,292.92,47.67,58.71,49.7
9/12/2018,291.24,47.36,57.24,49.25
9/11/2018,291.22,47.15,56.8,48.89
9/10/2018,290.25,47.16,56.88,48.79
9/7/2018,289.6,46.73,57.87,48.95
9/6/2018,290.31,47.07,58.19,48.73
9/5/2018,291.16,47.35,58.4,48.61
9/4/2018,291.95,47.66,59.99,48.91
9/3/2018,,,,49.55
8/31/2018,292.44,48.05,60.74,49.52
8/30/2018,292.29,48.55,60.61,49.66
8/29/2018,293.54,49,62.62,50.18
8/28/2018,291.89,48.75,62.07,50.05
